Nquad,Fitness,Month,Age.stage,T.length,D.holdfast,N.stipe,D.stipe,Maturity,Rep.prev,Wave.exp,Density,Gall.prev,Temp,Sal,ph
1,Malformed,Jun,Juvenile,91,8,35,0.2,Immature,0,Semi-exposed,2,1,15.4,33.7,8.36
1,Malformed,Jun,Adult,34,12,2,0.6,Immature,0,Semi-exposed,2,1,15.4,33.7,8.36
2,Shapely,Jun,Juvenile,92,7.4,24,0.6,Fertile,0.4545454545,Semi-exposed,11,0.2727272727,15.4,33.7,8.36
2,Shapely,Jun,Adult,102,18,29,1,Fertile,0.4545454545,Semi-exposed,11,0.2727272727,15.4,33.7,8.36
2,Malformed,Jun,Adult,130,13,17,1.2,Fertile,0.4545454545,Semi-exposed,11,0.2727272727,15.4,33.7,8.36
2,Shapely,Jun,Adult,150,13.5,37,1.2,Fertile,0.4545454545,Semi-exposed,11,0.2727272727,15.4,33.7,8.36
2,Shapely,Jun,Juvenile,97,3.9,7,0.3,Immature,0.4545454545,Semi-exposed,11,0.2727272727,15.4,33.7,8.36
2,Malformed,Jun,Adult,147,9.2,18,0.4,Immature,0.4545454545,Semi-exposed,11,0.2727272727,15.4,33.7,8.36
2,Shapely,Jun,Adult,130,7.4,38,0.6,Immature,0.4545454545,Semi-exposed,11,0.2727272727,15.4,33.7,8.36
2,Shapely,Jun,Adult,111,5.2,12,0.4,Immature,0.4545454545,Semi-exposed,11,0.2727272727,15.4,33.7,8.36
2,Shapely,Jun,Adult,140,8.2,25,0.4,Immature,0.4545454545,Semi-exposed,11,0.2727272727,15.4,33.7,8.36
2,Malformed,Jun,Adult,91,16,49,1.1,Fertile,0.4545454545,Semi-exposed,11,0.2727272727,15.4,33.7,8.36
2,Shapely,Jun,Adult,119,9.2,22,0.6,Immature,0.4545454545,Semi-exposed,11,0.2727272727,15.4,33.7,8.36
3,Malformed,Jun,Adult,120,12.5,42,0.7,Immature,0,Semi-exposed,4,0.25,15.4,33.7,8.36
3,Shapely,Jun,Juvenile,124,5.5,49,0.6,Immature,0,Semi-exposed,4,0.25,15.4,33.7,8.36
3,Shapely,Jun,Juvenile,107,6,17,1.2,Immature,0,Semi-exposed,4,0.25,15.4,33.7,8.36
3,Shapely,Jun,Adult,120,8,27,1,Immature,0,Semi-exposed,4,0.25,15.4,33.7,8.36
4,Malformed,Jun,Adult,150,6.2,3,1,Fertile,0.75,Semi-exposed,4,0.75,15.4,33.7,8.36
4,Shapely,Jun,Adult,84,16,42,1.2,Immature,0.75,Semi-exposed,4,0.75,15.4,33.7,8.36
4,Malformed,Jun,Adult,97,13,34,1.5,Fertile,0.75,Semi-exposed,4,0.75,15.4,33.7,8.36
4,Malformed,Jun,Adult,95,30,39,1.2,Fertile,0.75,Semi-exposed,4,0.75,15.4,33.7,8.36
5,Shapely,Jun,Juvenile,54,11.9,6,0.4,Immature,0.2857142857,Exposed,14,0.2142857143,15.4,33.7,8.36
5,Shapely,Jun,Recruit,25,1,2,0.2,Immature,0.2857142857,Exposed,14,0.2142857143,15.4,33.7,8.36
5,Malformed,Jun,Adult,92,7.2,9,1.2,Fertile,0.2857142857,Exposed,14,0.2142857143,15.4,33.7,8.36
5,Shapely,Jun,Adult,150,14,19,1.2,Fertile,0.2857142857,Exposed,14,0.2142857143,15.4,33.7,8.36
5,Shapely,Jun,Adult,150,11,15,1.4,Fertile,0.2857142857,Exposed,14,0.2142857143,15.4,33.7,8.36
5,Shapely,Jun,Adult,150,11.4,38,0.9,Immature,0.2857142857,Exposed,14,0.2142857143,15.4,33.7,8.36
5,Shapely,Jun,Juvenile,77,4.4,7,0.4,Immature,0.2857142857,Exposed,14,0.2142857143,15.4,33.7,8.36
5,Shapely,Jun,Recruit,16,3.2,5,0.2,Immature,0.2857142857,Exposed,14,0.2142857143,15.4,33.7,8.36
5,Shapely,Jun,Adult,140,11,13,0.6,Immature,0.2857142857,Exposed,14,0.2142857143,15.4,33.7,8.36
5,Malformed,Jun,Adult,140,8.4,21,1.2,Immature,0.2857142857,Exposed,14,0.2142857143,15.4,33.7,8.36
5,Shapely,Jun,Adult,150,10,20,0.6,Immature,0.2857142857,Exposed,14,0.2142857143,15.4,33.7,8.36
5,Malformed,Jun,Adult,125,12.2,15,1.2,Fertile,0.2857142857,Exposed,14,0.2142857143,15.4,33.7,8.36
5,Shapely,Jun,Juvenile,96,6,12,1.2,Immature,0.2857142857,Exposed,14,0.2142857143,15.4,33.7,8.36
5,Shapely,Jun,Juvenile,120,5.2,13,0.4,Immature,0.2857142857,Exposed,14,0.2142857143,15.4,33.7,8.36
6,Shapely,Jun,Adult,150,6,40,0.6,Immature,0.5,Exposed,6,0.3333333333,15.4,33.7,8.36
6,Shapely,Jun,Adult,94,9.2,14,0.6,Immature,0.5,Exposed,6,0.3333333333,15.4,33.7,8.36
6,Malformed,Jun,Adult,233,16.2,32,1.5,Fertile,0.5,Exposed,6,0.3333333333,15.4,33.7,8.36
6,Shapely,Jun,Adult,150,20,64,1.2,Fertile,0.5,Exposed,6,0.3333333333,15.4,33.7,8.36
6,Shapely,Jun,Juvenile,129,5.4,16,0.8,Immature,0.5,Exposed,6,0.3333333333,15.4,33.7,8.36
6,Malformed,Jun,Adult,150,16.4,9,2,Fertile,0.5,Exposed,6,0.3333333333,15.4,33.7,8.36
7,Shapely,Jun,Adult,150,14,32,0.9,Fertile,0.5454545455,Exposed,11,0.2727272727,15.4,33.7,8.36
7,Shapely,Jun,Adult,200,11,29,0.9,Fertile,0.5454545455,Exposed,11,0.2727272727,15.4,33.7,8.36
7,Shapely,Jun,Adult,150,10,15,0.6,Fertile,0.5454545455,Exposed,11,0.2727272727,15.4,33.7,8.36
7,Shapely,Jun,Adult,150,7.8,19,0.6,Immature,0.5454545455,Exposed,11,0.2727272727,15.4,33.7,8.36
7,Malformed,Jun,Adult,150,16,59,1,Fertile,0.5454545455,Exposed,11,0.2727272727,15.4,33.7,8.36
7,Shapely,Jun,Adult,125,11,31,0.4,Immature,0.5454545455,Exposed,11,0.2727272727,15.4,33.7,8.36
7,Malformed,Jun,Adult,150,12,9,1,Fertile,0.5454545455,Exposed,11,0.2727272727,15.4,33.7,8.36
7,Shapely,Jun,Recruit,25,3.3,8,0.4,Immature,0.5454545455,Exposed,11,0.2727272727,15.4,33.7,8.36
7,Shapely,Jun,Juvenile,58,3.4,12,0.3,Immature,0.5454545455,Exposed,11,0.2727272727,15.4,33.7,8.36
7,Shapely,Jun,Adult,134,12,13,0.9,Immature,0.5454545455,Exposed,11,0.2727272727,15.4,33.7,8.36
7,Malformed,Jun,Adult,150,16,13,1.2,Fertile,0.5454545455,Exposed,11,0.2727272727,15.4,33.7,8.36
8,Shapely,Jun,Adult,150,12,24,1.2,Fertile,0.6153846154,Exposed,13,0,15.4,33.7,8.36
8,Shapely,Jun,Juvenile,72,4.8,5,0.4,Immature,0.6153846154,Exposed,13,0,15.4,33.7,8.36
8,Shapely,Jun,Adult,150,16,74,1.2,Fertile,0.6153846154,Exposed,13,0,15.4,33.7,8.36
8,Shapely,Jun,Juvenile,99,7,3,1.2,Fertile,0.6153846154,Exposed,13,0,15.4,33.7,8.36
8,Shapely,Jun,Adult,150,19,32,1.4,Fertile,0.6153846154,Exposed,13,0,15.4,33.7,8.36
8,Shapely,Jun,Adult,150,9.2,16,1.1,Fertile,0.6153846154,Exposed,13,0,15.4,33.7,8.36
8,Shapely,Jun,Adult,250,10.2,17,0.8,Fertile,0.6153846154,Exposed,13,0,15.4,33.7,8.36
8,Shapely,Jun,Adult,150,17.5,8,1.5,Fertile,0.6153846154,Exposed,13,0,15.4,33.7,8.36
8,Shapely,Jun,Adult,150,15.4,9,1.6,Fertile,0.6153846154,Exposed,13,0,15.4,33.7,8.36
8,Shapely,Jun,Adult,150,9.2,19,0.8,Immature,0.6153846154,Exposed,13,0,15.4,33.7,8.36
8,Shapely,Jun,Juvenile,150,7.2,13,1,Immature,0.6153846154,Exposed,13,0,15.4,33.7,8.36
8,Shapely,Jun,Juvenile,57,7.2,11,0.6,Immature,0.6153846154,Exposed,13,0,15.4,33.7,8.36
8,Shapely,Jun,Adult,150,9.4,15,1.2,Immature,0.6153846154,Exposed,13,0,15.4,33.7,8.36
9,Shapely,Jun,Juvenile,86,7,24,0.7,Immature,0.4375,Exposed,16,0.25,15.4,33.7,8.36
9,Malformed,Jun,Adult,73,6,1,1,Immature,0.4375,Exposed,16,0.25,15.4,33.7,8.36
9,Shapely,Jun,Juvenile,80,3.5,8,0.6,Immature,0.4375,Exposed,16,0.25,15.4,33.7,8.36
9,Shapely,Jun,Juvenile,63,2,7,0.4,Immature,0.4375,Exposed,16,0.25,15.4,33.7,8.36
9,Shapely,Jun,Recruit,32,1,2,0.1,Immature,0.4375,Exposed,16,0.25,15.4,33.7,8.36
9,Shapely,Jun,Recruit,37,3.2,5,0.2,Immature,0.4375,Exposed,16,0.25,15.4,33.7,8.36
9,Shapely,Jun,Recruit,12,0.6,6,0.1,Immature,0.4375,Exposed,16,0.25,15.4,33.7,8.36
9,Shapely,Jun,Recruit,40,3.2,8,0.3,Immature,0.4375,Exposed,16,0.25,15.4,33.7,8.36
9,Malformed,Jun,Adult,230,19,10,1.9,Fertile,0.4375,Exposed,16,0.25,15.4,33.7,8.36
9,Shapely,Jun,Juvenile,76,2.2,6,0.3,Immature,0.4375,Exposed,16,0.25,15.4,33.7,8.36
9,Shapely,Jun,Juvenile,150,9.2,29,1.2,Immature,0.4375,Exposed,16,0.25,15.4,33.7,8.36
9,Malformed,Jun,Juvenile,100,6.2,20,0.4,Fertile,0.4375,Exposed,16,0.25,15.4,33.7,8.36
9,Malformed,Jun,Adult,170,14,32,1.2,Fertile,0.4375,Exposed,16,0.25,15.4,33.7,8.36
9,Shapely,Jun,Juvenile,140,7.2,22,0.7,Fertile,0.4375,Exposed,16,0.25,15.4,33.7,8.36
9,Shapely,Jun,Adult,150,12,31,1.1,Fertile,0.4375,Exposed,16,0.25,15.4,33.7,8.36
9,Shapely,Jun,Adult,110,12.9,17,1.2,Fertile,0.4375,Exposed,16,0.25,15.4,33.7,8.36
10,Shapely,Jun,Recruit,34,0.7,6,0.3,Immature,0.8,Exposed,10,0.5,15.4,33.7,8.36
10,Shapely,Jun,Adult,250,11.4,12,1.7,Fertile,0.8,Exposed,10,0.5,15.4,33.7,8.36
10,Shapely,Jun,Adult,200,9.8,10,1.6,Fertile,0.8,Exposed,10,0.5,15.4,33.7,8.36
10,Shapely,Jun,Juvenile,165,5.8,17,0.9,Fertile,0.8,Exposed,10,0.5,15.4,33.7,8.36
10,Malformed,Jun,Adult,120,8.3,29,0.8,Fertile,0.8,Exposed,10,0.5,15.4,33.7,8.36
10,Shapely,Jun,Recruit,39,0.6,7,0.6,Immature,0.8,Exposed,10,0.5,15.4,33.7,8.36
10,Malformed,Jun,Adult,189,15.4,56,1.4,Fertile,0.8,Exposed,10,0.5,15.4,33.7,8.36
10,Malformed,Jun,Adult,210,9,29,0.6,Fertile,0.8,Exposed,10,0.5,15.4,33.7,8.36
10,Malformed,Jun,Adult,150,8.3,24,0.7,Fertile,0.8,Exposed,10,0.5,15.4,33.7,8.36
10,Malformed,Jun,Adult,189,10,27,0.6,Fertile,0.8,Exposed,10,0.5,15.4,33.7,8.36
11,Shapely,Jun,Recruit,34,3.2,11,0.4,Immature,0.6666666667,Exposed,12,0.25,15.4,33.7,8.36
11,Shapely,Jun,Recruit,18,0.6,7,0.4,Immature,0.6666666667,Exposed,12,0.25,15.4,33.7,8.36
11,Shapely,Jun,Recruit,23,0.6,5,0.4,Immature,0.6666666667,Exposed,12,0.25,15.4,33.7,8.36
11,Shapely,Jun,Adult,189,12.4,18,0.9,Fertile,0.6666666667,Exposed,12,0.25,15.4,33.7,8.36
11,Shapely,Jun,Juvenile,133,7.2,25,1.2,Fertile,0.6666666667,Exposed,12,0.25,15.4,33.7,8.36
11,Shapely,Jun,Juvenile,120,5.3,14,0.6,Immature,0.6666666667,Exposed,12,0.25,15.4,33.7,8.36
11,Malformed,Jun,Juvenile,189,7.4,13,1.2,Fertile,0.6666666667,Exposed,12,0.25,15.4,33.7,8.36
11,Malformed,Jun,Juvenile,189,9.5,9,0.6,Fertile,0.6666666667,Exposed,12,0.25,15.4,33.7,8.36
11,Shapely,Jun,Adult,89,6.8,19,0.8,Fertile,0.6666666667,Exposed,12,0.25,15.4,33.7,8.36
11,Malformed,Jun,Adult,220,13.8,75,1.6,Fertile,0.6666666667,Exposed,12,0.25,15.4,33.7,8.36
11,Shapely,Jun,Adult,189,5.7,18,0.6,Fertile,0.6666666667,Exposed,12,0.25,15.4,33.7,8.36
11,Shapely,Jun,Adult,197,9.8,32,1.5,Fertile,0.6666666667,Exposed,12,0.25,15.4,33.7,8.36
12,Malformed,Jun,Adult,189,13,15,2.4,Fertile,0.8571428571,Exposed,7,0.4285714286,15.4,33.7,8.36
12,Malformed,Jun,Adult,170,8.9,7,1.2,Fertile,0.8571428571,Exposed,7,0.4285714286,15.4,33.7,8.36
12,Shapely,Jun,Adult,213,7.4,9,0.9,Fertile,0.8571428571,Exposed,7,0.4285714286,15.4,33.7,8.36
12,Shapely,Jun,Adult,125,6.7,28,0.8,Fertile,0.8571428571,Exposed,7,0.4285714286,15.4,33.7,8.36
12,Shapely,Jun,Adult,160,8.7,34,0.9,Fertile,0.8571428571,Exposed,7,0.4285714286,15.4,33.7,8.36
12,Shapely,Jun,Adult,170,6.7,13,0.9,Immature,0.8571428571,Exposed,7,0.4285714286,15.4,33.7,8.36
12,Malformed,Jun,Adult,198,7.6,22,0.08,Fertile,0.8571428571,Exposed,7,0.4285714286,15.4,33.7,8.36
13,Shapely,Jun,Adult,189,13,31,0.8,Fertile,0.5333333333,Exposed,15,0.5833333333,15.4,33.7,8.36
13,Shapely,Jun,Adult,161,7.4,28,0.4,Fertile,0.5333333333,Exposed,15,0.5833333333,15.4,33.7,8.36
13,Malformed,Jun,Adult,177,10,28,1.2,Fertile,0.5333333333,Exposed,15,0.5833333333,15.4,33.7,8.36
13,Malformed,Jun,Adult,170,14,32,1,Fertile,0.5333333333,Exposed,15,0.5833333333,15.4,33.7,8.36
13,Shapely,Jun,Juvenile,129,7.3,29,1,Immature,0.5333333333,Exposed,15,0.5833333333,15.4,33.7,8.36
13,Shapely,Jun,Juvenile,170,8,28,0.9,Fertile,0.5333333333,Exposed,15,0.5833333333,15.4,33.7,8.36
13,Malformed,Jun,Adult,134,9.5,25,1.1,Fertile,0.5333333333,Exposed,15,0.5833333333,15.4,33.7,8.36
13,Malformed,Jun,Adult,160,7.5,34,1,Fertile,0.5333333333,Exposed,15,0.5833333333,15.4,33.7,8.36
13,Shapely,Jun,Juvenile,167,4.9,16,0.9,Fertile,0.5333333333,Exposed,15,0.5833333333,15.4,33.7,8.36
13,Malformed,Jun,Adult,176,9.9,26,0.8,Immature,0.5333333333,Exposed,15,0.5833333333,15.4,33.7,8.36
13,Malformed,Jun,Adult,156,7.8,33,0.8,Immature,0.5333333333,Exposed,15,0.5833333333,15.4,33.7,8.36
13,Malformed,Jun,Adult,156,5.6,24,0.8,Immature,0.5333333333,Exposed,15,0.5833333333,15.4,33.7,8.36
13,Shapely,Jun,Recruit,19,3.5,6,0.4,Immature,0.5333333333,Exposed,15,0.5833333333,15.4,33.7,8.36
13,Shapely,Jun,Juvenile,178,7.6,29,0.7,Immature,0.5333333333,Exposed,15,0.5833333333,15.4,33.7,8.36
13,Shapely,Jun,Juvenile,156,8.5,28,0.7,Immature,0.5333333333,Exposed,15,0.5833333333,15.4,33.7,8.36
1,Shapely,Jul,Adult,119,9.5,47,0.7,Fertile,0.5,Semi-exposed,2,0,15.5,33.5,8.1
1,Shapely,Jul,Adult,42,13.4,11,0.5,Immature,0.5,Semi-exposed,2,0,15.5,33.5,8.1
2,Shapely,Jul,Juvenile,100,6,15,0.7,Immature,0,Semi-exposed,7,0.2857142857,15.5,33.5,8.1
2,Malformed,Jul,Adult,202,7.2,17,0.8,Immature,0,Semi-exposed,7,0.2857142857,15.5,33.5,8.1
2,Malformed,Jul,Adult,90,12.5,52,0.6,Immature,0,Semi-exposed,7,0.2857142857,15.5,33.5,8.1
2,Shapely,Jul,Juvenile,80,5,11,0.8,Immature,0,Semi-exposed,7,0.2857142857,15.5,33.5,8.1
2,Shapely,Jul,Juvenile,100,4.5,7,0.4,Immature,0,Semi-exposed,7,0.2857142857,15.5,33.5,8.1
2,Shapely,Jul,Adult,150,5.7,42,0.6,Immature,0,Semi-exposed,7,0.2857142857,15.5,33.5,8.1
2,Shapely,Jul,Adult,155,8.3,16,0.6,Immature,0,Semi-exposed,7,0.2857142857,15.5,33.5,8.1
3,Malformed,Jul,Adult,91,10.9,3,1,Immature,0,Semi-exposed,3,0.3333333333,15.5,33.5,8.1
3,Shapely,Jul,Adult,122,6.5,23,0.6,Immature,0,Semi-exposed,3,0.3333333333,15.5,33.5,8.1
3,Shapely,Jul,Adult,163,10,30,0.7,Immature,0,Semi-exposed,3,0.3333333333,15.5,33.5,8.1
4,Shapely,Jul,Adult,170,13,45,0.7,Immature,0,Semi-exposed,5,0.2,15.5,33.5,8.1
4,Shapely,Jul,Adult,102,5,9,0.5,Immature,0,Semi-exposed,5,0.2,15.5,33.5,8.1
4,Shapely,Jul,Adult,137,5.2,10,0.4,Immature,0,Semi-exposed,5,0.2,15.5,33.5,8.1
4,Shapely,Jul,Adult,144,7.9,32,0.6,Immature,0,Semi-exposed,5,0.2,15.5,33.5,8.1
4,Malformed,Jul,Adult,97,15,40,0.7,Immature,0,Semi-exposed,5,0.2,15.5,33.5,8.1
5,Shapely,Jul,Adult,104,6,15,0.7,Immature,0.3,Exposed,10,0.1,15.5,33.5,8.1
5,Shapely,Jul,Recruit,51,2.2,13,0.5,Immature,0.3,Exposed,10,0.1,15.5,33.5,8.1
5,Shapely,Jul,Juvenile,44,9.7,11,0.3,Immature,0.3,Exposed,10,0.1,15.5,33.5,8.1
5,Shapely,Jul,Recruit,27,0.9,4,0.2,Immature,0.3,Exposed,10,0.1,15.5,33.5,8.1
5,Shapely,Jul,Juvenile,67,0.7,12,0.7,Immature,0.3,Exposed,10,0.1,15.5,33.5,8.1
5,Shapely,Jul,Juvenile,26,5.7,15,0.3,Immature,0.3,Exposed,10,0.1,15.5,33.5,8.1
5,Shapely,Jul,Adult,83,11.4,24,1,Fertile,0.3,Exposed,10,0.1,15.5,33.5,8.1
5,Malformed,Jul,Adult,205,7.3,8,0.9,Fertile,0.3,Exposed,10,0.1,15.5,33.5,8.1
5,Shapely,Jul,Adult,167,10,26,0.8,Fertile,0.3,Exposed,10,0.1,15.5,33.5,8.1
5,Shapely,Jul,Adult,207,12.5,64,0.8,Immature,0.3,Exposed,10,0.1,15.5,33.5,8.1
6,Shapely,Jul,Adult,160,11.3,50,0.6,Immature,0.25,Exposed,8,0.25,15.5,33.5,8.1
6,Shapely,Jul,Adult,128,7.8,21,0.7,Immature,0.25,Exposed,8,0.25,15.5,33.5,8.1
6,Shapely,Jul,Adult,110,7.5,21,0.9,Immature,0.25,Exposed,8,0.25,15.5,33.5,8.1
6,Shapely,Jul,Adult,182,15,99,0.9,Immature,0.25,Exposed,8,0.25,15.5,33.5,8.1
6,Shapely,Jul,Juvenile,107,6.5,18,0.7,Immature,0.25,Exposed,8,0.25,15.5,33.5,8.1
6,Shapely,Jul,Juvenile,74,5.7,16,0.3,Immature,0.25,Exposed,8,0.25,15.5,33.5,8.1
6,Malformed,Jul,Adult,175,14,11,1.3,Fertile,0.25,Exposed,8,0.25,15.5,33.5,8.1
6,Malformed,Jul,Adult,185,15,35,1,Fertile,0.25,Exposed,8,0.25,15.5,33.5,8.1
7,Shapely,Jul,Adult,175,12.4,52,1,Immature,0,Exposed,6,0,15.5,33.5,8.1
7,Shapely,Jul,Adult,150,10,3,0.8,Immature,0,Exposed,6,0,15.5,33.5,8.1
7,Shapely,Jul,Juvenile,49,3.3,9,0.3,Immature,0,Exposed,6,0,15.5,33.5,8.1
7,Shapely,Jul,Adult,57,14,10,0.5,Immature,0,Exposed,6,0,15.5,33.5,8.1
7,Shapely,Jul,Adult,158,15,51,1,Immature,0,Exposed,6,0,15.5,33.5,8.1
7,Shapely,Jul,Adult,165,15,73,0.7,Immature,0,Exposed,6,0,15.5,33.5,8.1
8,Malformed,Jul,Adult,235,15,15,1.3,Fertile,0.3333333333,Exposed,9,0.2222222222,15.5,33.5,8.1
