Nquad,Fitness,Fitness2,Month,season,Age.stage,T.length,D.holdfast,N.stipe,D.stipe,Maturity,Rep.prev,Wave.exp,Density,Gall.prev,Temp,Sal,ph
1,Malformed,1,Apr,fall,Adult,98,8,22,1.5,Fertile,0.3333333333,Semi-exposed,9,0.3333333333,17.3,34,8.11
1,Malformed,1,Apr,fall,Adult,123,5,1.4,1.8,Immature,0.3333333333,Semi-exposed,9,0.3333333333,17.3,34,8.11
1,Malformed,1,Apr,fall,Adult,198,6,8,1.4,Fertile,0.3333333333,Semi-exposed,9,0.3333333333,17.3,34,8.11
1,Shapely,0,Apr,fall,Adult,100,5,6,3,Fertile,0.3333333333,Semi-exposed,9,0.3333333333,17.3,34,8.11
1,Shapely,0,Apr,fall,Juvenile,120,6,3,0.4,Immature,0.3333333333,Semi-exposed,9,0.3333333333,17.3,34,8.11
1,Shapely,0,Apr,fall,Recruit,38,2,6,0.2,Immature,0.3333333333,Semi-exposed,9,0.3333333333,17.3,34,8.11
1,Shapely,0,Apr,fall,Recruit,18,3,2,0.1,Immature,0.3333333333,Semi-exposed,9,0.3333333333,17.3,34,8.11
1,Shapely,0,Apr,fall,Recruit,36,3,9,0.1,Immature,0.3333333333,Semi-exposed,9,0.3333333333,17.3,34,8.11
1,Shapely,0,Apr,fall,Juvenile,87,6,18,0.3,Immature,0.3333333333,Semi-exposed,9,0.3333333333,17.3,34,8.11
2,Malformed,1,Apr,fall,Adult,120,5.8,16,1.4,Immature,0.3333333333,Semi-exposed,6,0.6666666667,17.3,34,8.11
2,Malformed,1,Apr,fall,Adult,97,9.4,20,1.4,Fertile,0.3333333333,Semi-exposed,6,0.6666666667,17.3,34,8.11
2,Malformed,1,Apr,fall,Adult,100,6.5,16,1.1,Fertile,0.3333333333,Semi-exposed,6,0.6666666667,17.3,34,8.11
2,Malformed,1,Apr,fall,Adult,145,8,12,1,Immature,0.3333333333,Semi-exposed,6,0.6666666667,17.3,34,8.11
2,Shapely,0,Apr,fall,Adult,124,5,8,1,Immature,0.3333333333,Semi-exposed,6,0.6666666667,17.3,34,8.11
2,Shapely,0,Apr,fall,Juvenile,87,6,12,1.1,Immature,0.3333333333,Semi-exposed,6,0.6666666667,17.3,34,8.11
3,Malformed,1,Apr,fall,Adult,100,8,13,1,Fertile,1,Semi-exposed,1,1,17.3,34,8.11
4,Shapely,0,Apr,fall,Juvenile,86,6,10,0.1,Immature,0,Semi-exposed,2,0,17.3,34,8.11
4,Shapely,0,Apr,fall,Juvenile,76,3,4,0.6,Immature,0,Semi-exposed,2,0,17.3,34,8.11
5,Malformed,1,Apr,fall,Adult,160,11,10,1,Fertile,0.6923076923,Exposed,13,0.5384615385,17.3,34,8.11
5,Malformed,1,Apr,fall,Adult,200,12,10,1.5,Fertile,0.6923076923,Exposed,13,0.5384615385,17.3,34,8.11
5,Malformed,1,Apr,fall,Adult,186,8,12,1.4,Fertile,0.6923076923,Exposed,13,0.5384615385,17.3,34,8.11
5,Malformed,1,Apr,fall,Adult,210,9,10,1.2,Fertile,0.6923076923,Exposed,13,0.5384615385,17.3,34,8.11
5,Malformed,1,Apr,fall,Adult,187,8,9,1.4,Fertile,0.6923076923,Exposed,13,0.5384615385,17.3,34,8.11
5,Malformed,1,Apr,fall,Adult,120,6,8,0.8,Fertile,0.6923076923,Exposed,13,0.5384615385,17.3,34,8.11
5,Malformed,1,Apr,fall,Adult,145,9,8,0.6,Fertile,0.6923076923,Exposed,13,0.5384615385,17.3,34,8.11
5,Shapely,0,Apr,fall,Juvenile,145,7,8,1,Fertile,0.6923076923,Exposed,13,0.5384615385,17.3,34,8.11
5,Shapely,0,Apr,fall,Juvenile,100,5,6,0.8,Immature,0.6923076923,Exposed,13,0.5384615385,17.3,34,8.11
5,Shapely,0,Apr,fall,Juvenile,45,3,4,0.5,Immature,0.6923076923,Exposed,13,0.5384615385,17.3,34,8.11
5,Shapely,0,Apr,fall,Recruit,24,0.6,4,0.5,Immature,0.6923076923,Exposed,13,0.5384615385,17.3,34,8.11
5,Shapely,0,Apr,fall,Recruit,29,0.2,2,0.1,Immature,0.6923076923,Exposed,13,0.5384615385,17.3,34,8.11
5,Shapely,0,Apr,fall,Juvenile,87,4,5,0.5,Fertile,0.6923076923,Exposed,13,0.5384615385,17.3,34,8.11
6,Malformed,1,Apr,fall,Adult,145,8,12,0.9,Fertile,1,Exposed,4,0.75,17.3,34,8.11
6,Malformed,1,Apr,fall,Adult,189,10,8,1.4,Fertile,1,Exposed,4,0.75,17.3,34,8.11
6,Malformed,1,Apr,fall,Adult,187,15,13,1.5,Fertile,1,Exposed,4,0.75,17.3,34,8.11
6,Shapely,0,Apr,fall,Juvenile,136,3.6,5,0.4,Fertile,1,Exposed,4,0.75,17.3,34,8.11
7,Malformed,1,Apr,fall,Adult,156,12,6,1.4,Fertile,0.25,Exposed,8,0.125,17.3,34,8.11
7,Shapely,0,Apr,fall,Juvenile,110,3,11,0.5,Immature,0.25,Exposed,8,0.125,17.3,34,8.11
7,Shapely,0,Apr,fall,Adult,145,8,12,0.4,Immature,0.25,Exposed,8,0.125,17.3,34,8.11
7,Shapely,0,Apr,fall,Juvenile,87,3.5,3,0.4,Immature,0.25,Exposed,8,0.125,17.3,34,8.11
7,Shapely,0,Apr,fall,Recruit,45,0.9,6,0.2,Immature,0.25,Exposed,8,0.125,17.3,34,8.11
7,Shapely,0,Apr,fall,Juvenile,145,6.5,8,0.8,Immature,0.25,Exposed,8,0.125,17.3,34,8.11
7,Shapely,0,Apr,fall,Juvenile,74,0.6,3,0.5,Immature,0.25,Exposed,8,0.125,17.3,34,8.11
7,Shapely,0,Apr,fall,Adult,148,35,16,1.5,Fertile,0.25,Exposed,8,0.125,17.3,34,8.11
8,Malformed,1,Apr,fall,Adult,187,19,14,1,Immature,0.7142857143,Exposed,7,1,17.3,34,8.11
8,Malformed,1,Apr,fall,Adult,145,6,9,1,Fertile,0.7142857143,Exposed,7,1,17.3,34,8.11
8,Malformed,1,Apr,fall,Adult,78,8,8,1,Fertile,0.7142857143,Exposed,7,1,17.3,34,8.11
8,Malformed,1,Apr,fall,Adult,120,6,5,0.8,Fertile,0.7142857143,Exposed,7,1,17.3,34,8.11
8,Malformed,1,Apr,fall,Adult,89,9,13,0.8,Fertile,0.7142857143,Exposed,7,1,17.3,34,8.11
8,Malformed,1,Apr,fall,Adult,189,10,15,1.4,Fertile,0.7142857143,Exposed,7,1,17.3,34,8.11
8,Malformed,1,Apr,fall,Adult,145,8,14,0.9,Immature,0.7142857143,Exposed,7,1,17.3,34,8.11
9,Malformed,1,Apr,fall,Adult,145,8,6,1,Fertile,0.2857142857,Exposed,21,0.4761904762,17.3,34,8.11
9,Malformed,1,Apr,fall,Adult,187,10,10,1,Fertile,0.2857142857,Exposed,21,0.4761904762,17.3,34,8.11
9,Malformed,1,Apr,fall,Adult,187,8,2,1.4,Fertile,0.2857142857,Exposed,21,0.4761904762,17.3,34,8.11
9,Malformed,1,Apr,fall,Adult,187,5.9,4,1,Immature,0.2857142857,Exposed,21,0.4761904762,17.3,34,8.11
9,Malformed,1,Apr,fall,Adult,178,7,6,1,Fertile,0.2857142857,Exposed,21,0.4761904762,17.3,34,8.11
9,Malformed,1,Apr,fall,Adult,145,9,15,1.4,Immature,0.2857142857,Exposed,21,0.4761904762,17.3,34,8.11
9,Malformed,1,Apr,fall,Juvenile,120,5,6,0.9,Immature,0.2857142857,Exposed,21,0.4761904762,17.3,34,8.11
9,Malformed,1,Apr,fall,Adult,145,8,18,0.9,Immature,0.2857142857,Exposed,21,0.4761904762,17.3,34,8.11
9,Malformed,1,Apr,fall,Adult,145,12,13,1.4,Fertile,0.2857142857,Exposed,21,0.4761904762,17.3,34,8.11
9,Malformed,1,Apr,fall,Adult,210,12,14,1.6,Fertile,0.2857142857,Exposed,21,0.4761904762,17.3,34,8.11
9,Shapely,0,Apr,fall,Juvenile,45,3,8,0.8,Immature,0.2857142857,Exposed,21,0.4761904762,17.3,34,8.11
9,Shapely,0,Apr,fall,Recruit,84,3,7,1.6,Immature,0.2857142857,Exposed,21,0.4761904762,17.3,34,8.11
9,Shapely,0,Apr,fall,Recruit,45,3,11,0.1,Immature,0.2857142857,Exposed,21,0.4761904762,17.3,34,8.11
9,Shapely,0,Apr,fall,Recruit,26,2,2,0.1,Immature,0.2857142857,Exposed,21,0.4761904762,17.3,34,8.11
9,Shapely,0,Apr,fall,Juvenile,84,3,16,0.2,Immature,0.2857142857,Exposed,21,0.4761904762,17.3,34,8.11
9,Shapely,0,Apr,fall,Juvenile,45,5,7,0.4,Immature,0.2857142857,Exposed,21,0.4761904762,17.3,34,8.11
9,Shapely,0,Apr,fall,Juvenile,45,4,5,0.4,Immature,0.2857142857,Exposed,21,0.4761904762,17.3,34,8.11
9,Shapely,0,Apr,fall,Recruit,5,0.1,3,0.1,Immature,0.2857142857,Exposed,21,0.4761904762,17.3,34,8.11
9,Shapely,0,Apr,fall,Juvenile,87,6,12,0.8,Immature,0.2857142857,Exposed,21,0.4761904762,17.3,34,8.11
9,Shapely,0,Apr,fall,Recruit,18,0.2,4,0.1,Immature,0.2857142857,Exposed,21,0.4761904762,17.3,34,8.11
9,Shapely,0,Apr,fall,Recruit,28,2,3,0.1,Immature,0.2857142857,Exposed,21,0.4761904762,17.3,34,8.11
10,Malformed,1,Apr,fall,Adult,145,8,8,1,Fertile,0.3529411765,Exposed,17,0.4117647059,17.3,34,8.11
10,Malformed,1,Apr,fall,Adult,145,6,8,1.3,Fertile,0.3529411765,Exposed,17,0.4117647059,17.3,34,8.11
10,Malformed,1,Apr,fall,Adult,145,8,4,1,Fertile,0.3529411765,Exposed,17,0.4117647059,17.3,34,8.11
10,Malformed,1,Apr,fall,Adult,189,9,24,1,Fertile,0.3529411765,Exposed,17,0.4117647059,17.3,34,8.11
10,Malformed,1,Apr,fall,Juvenile,120,9,17,1,Immature,0.3529411765,Exposed,17,0.4117647059,17.3,34,8.11
10,Malformed,1,Apr,fall,Adult,178,8,6,1.1,Fertile,0.3529411765,Exposed,17,0.4117647059,17.3,34,8.11
10,Malformed,1,Apr,fall,Adult,175,6,3,1.5,Fertile,0.3529411765,Exposed,17,0.4117647059,17.3,34,8.11
10,Shapely,0,Apr,fall,Juvenile,78,3,12,0.5,Immature,0.3529411765,Exposed,17,0.4117647059,17.3,34,8.11
10,Shapely,0,Apr,fall,Juvenile,89,5,24,0.6,Immature,0.3529411765,Exposed,17,0.4117647059,17.3,34,8.11
10,Shapely,0,Apr,fall,Recruit,56,0.6,3,0.7,Immature,0.3529411765,Exposed,17,0.4117647059,17.3,34,8.11
10,Shapely,0,Apr,fall,Recruit,45,2,5,0.4,Immature,0.3529411765,Exposed,17,0.4117647059,17.3,34,8.11
10,Shapely,0,Apr,fall,Juvenile,85,6,12,0.6,Immature,0.3529411765,Exposed,17,0.4117647059,17.3,34,8.11
10,Shapely,0,Apr,fall,Juvenile,78,2,6,0.9,Immature,0.3529411765,Exposed,17,0.4117647059,17.3,34,8.11
10,Shapely,0,Apr,fall,Juvenile,78,3,8,1,Immature,0.3529411765,Exposed,17,0.4117647059,17.3,34,8.11
10,Shapely,0,Apr,fall,Recruit,45,2,5,0.9,Immature,0.3529411765,Exposed,17,0.4117647059,17.3,34,8.11
10,Shapely,0,Apr,fall,Juvenile,67,5,12,0.8,Immature,0.3529411765,Exposed,17,0.4117647059,17.3,34,8.11
10,Shapely,0,Apr,fall,Juvenile,75,3,8,1.4,Immature,0.3529411765,Exposed,17,0.4117647059,17.3,34,8.11
11,Malformed,1,Apr,fall,Adult,185,8,12,1.1,Fertile,0.119047619,Exposed,42,0.1666666667,17.3,34,8.11
11,Malformed,1,Apr,fall,Adult,240,8,18,1.2,Immature,0.119047619,Exposed,42,0.1666666667,17.3,34,8.11
11,Malformed,1,Apr,fall,Adult,187,9,6,0.9,Fertile,0.119047619,Exposed,42,0.1666666667,17.3,34,8.11
11,Malformed,1,Apr,fall,Adult,187,6,8,1,Fertile,0.119047619,Exposed,42,0.1666666667,17.3,34,8.11
11,Malformed,1,Apr,fall,Adult,154,10,15,1.4,Fertile,0.119047619,Exposed,42,0.1666666667,17.3,34,8.11
11,Malformed,1,Apr,fall,Juvenile,110,2,2,1.2,Immature,0.119047619,Exposed,42,0.1666666667,17.3,34,8.11
